,recording,shank,id,label,spike_prop,time_prop
53,es25nov11_5,1.0,11.0,1.0,0.7475035663338089,0.12315307680074723
54,es25nov11_5,2.0,8.0,1.0,0.8342002600780234,0.12489031742814607
55,es25nov11_5,2.0,11.0,1.0,0.9202247191011236,0.1231851461202459
56,es25nov11_5,2.0,13.0,0.0,0.8420100074523581,0.12314603963512481
57,es25nov11_5,2.0,3.0,1.0,0.9130850047755492,0.12355893474355646
58,es25nov11_5,2.0,10.0,0.0,0.830637833908777,0.12317123166468671
59,es25nov11_5,2.0,9.0,-1.0,0.9501845018450185,0.12396299133409994
60,es25nov11_5,2.0,12.0,-1.0,0.9772727272727273,0.12494504612617796
61,es25nov11_5,3.0,12.0,-1.0,0.9328335373317014,0.12346186959694185
62,es25nov11_5,3.0,9.0,1.0,0.9296735905044511,0.12318623503856738
63,es25nov11_5,3.0,10.0,1.0,0.8687836241962997,0.12316047853378824
64,es25nov11_5,3.0,3.0,0.0,0.8045503130248893,0.12318060728725068
65,es25nov11_5,3.0,2.0,1.0,0.9162173372044795,0.12319812411950792
66,es25nov11_5,3.0,4.0,-1.0,0.779037935080172,0.12323459847017715
67,es25nov11_5,4.0,5.0,1.0,0.9011693700490381,0.123215352405092
68,es25nov11_5,4.0,2.0,-1.0,0.9300254452926209,0.12328206183634073
69,es25nov11_5,4.0,9.0,-1.0,0.9446185997910136,0.12343089374442635
70,es25nov11_5,4.0,13.0,-1.0,0.9578947368421052,0.12525057631504438
71,es25nov11_5,4.0,12.0,-1.0,0.9106967615309126,0.12518564429017803
72,es25nov11_5,4.0,8.0,-1.0,0.7736686390532544,0.1261201378475348
73,es25nov11_12,1.0,5.0,-1.0,0.9582575481993452,0.060303623634344786
74,es25nov11_12,1.0,16.0,-1.0,0.9544411877150504,0.060330231116648876
75,es25nov11_12,1.0,21.0,1.0,0.9356183804520056,0.06029431224589454
76,es25nov11_12,1.0,12.0,-1.0,0.9572402044293016,0.06030610956145214
77,es25nov11_12,1.0,18.0,-1.0,0.9395465994962217,0.06031082243710936
78,es25nov11_12,1.0,10.0,-1.0,0.958886780518659,0.060388822795054566
79,es25nov11_12,1.0,19.0,1.0,0.8943726937269373,0.0603754153818481
80,es25nov11_12,1.0,6.0,-1.0,0.9359927879197656,0.06030944463219953
81,es25nov11_12,1.0,17.0,-1.0,0.951974760458051,0.06030636074165339
82,es25nov11_12,1.0,9.0,-1.0,0.9605528361646991,0.06033043028771803
83,es25nov11_12,1.0,8.0,-1.0,0.9492145470195825,0.060395657604305916
84,es25nov11_12,2.0,3.0,-1.0,0.9400705052878966,0.06030415107169737
85,es25nov11_12,2.0,4.0,-1.0,0.9661861074705111,0.060316405800121875
86,es25nov11_12,2.0,7.0,-1.0,0.9616708744549002,0.06035667371067757
87,es25nov11_12,2.0,8.0,-1.0,0.9383420872345284,0.06035682918730802
88,es25nov11_12,2.0,9.0,-1.0,0.9432397959183674,0.060377627049643896
89,es25nov11_12,2.0,6.0,1.0,0.9590272270684642,0.060430185980247735
90,es25nov11_12,2.0,2.0,-1.0,0.9360313315926893,0.06074273760442997
91,es25nov11_12,3.0,17.0,0.0,0.9218206321047061,0.06029103420899661
92,es25nov11_12,3.0,2.0,-1.0,0.94859590671109,0.0602965199071773
93,es25nov11_12,3.0,18.0,1.0,0.9487428187719167,0.06029479059097743
94,es25nov11_12,3.0,7.0,1.0,0.9505070993914807,0.06033447587211339
95,es25nov11_12,3.0,19.0,-1.0,0.9378140391025322,0.06029779217036478
96,es25nov11_12,3.0,11.0,1.0,0.9188759278897137,0.060295421528804745
97,es25nov11_12,3.0,6.0,1.0,0.9339184305627258,0.06029364141672019
98,es25nov11_12,3.0,13.0,1.0,0.9499397566947803,0.06029738009543765
99,es25nov11_12,3.0,14.0,1.0,0.9398013444366409,0.06029734983390719
100,es25nov11_12,3.0,8.0,1.0,0.951731761238025,0.0603072431092019
101,es25nov11_12,3.0,9.0,1.0,0.9395519505600618,0.06032063314565007
102,es25nov11_12,3.0,5.0,1.0,0.9707112970711297,0.06033004677178264
103,es25nov11_12,3.0,10.0,-1.0,0.9680851063829787,0.06036991983720611
104,es25nov11_12,3.0,12.0,1.0,0.9448655383656941,0.060512759633457563
105,es25nov11_12,3.0,4.0,1.0,0.960093896713615,0.060961556467582986
106,es25nov11_12,4.0,7.0,-1.0,0.9375,0.06031616484445787
107,es25nov11_9,1.0,2.0,-1.0,0.8160054719562243,0.19072608211356099
108,es25nov11_9,1.0,9.0,-1.0,0.8102766798418972,0.19235341050093585
109,es25nov11_9,2.0,7.0,-1.0,0.8392969240426867,0.19071262252165042
110,es25nov11_9,2.0,4.0,-1.0,0.8692170818505338,0.19024569522305784
111,es25nov11_9,2.0,5.0,-1.0,0.7649202733485193,0.19017021770870607
112,es25nov11_9,2.0,10.0,-1.0,0.8580645161290322,0.19063876186059442
113,es25nov11_9,2.0,3.0,-1.0,0.8250381679389313,0.19027828305457242
114,es25nov11_9,2.0,9.0,-1.0,0.8083333333333333,0.19050603652029174
115,es25nov11_9,2.0,2.0,-1.0,0.9190074906367042,0.19114829922281482
116,es25nov11_9,2.0,11.0,-1.0,0.7998046875,0.19089036786093952
117,es25nov11_9,3.0,4.0,-1.0,0.8949858088930936,0.1907187523972338
118,es25nov11_9,3.0,2.0,-1.0,0.8188010899182562,0.19056781895462827
119,es25nov11_9,3.0,3.0,-1.0,0.8164874551971326,0.1912824575169296
120,es25nov11_9,4.0,11.0,-1.0,0.8509174311926605,0.19036727435514073
121,es25nov11_9,4.0,2.0,-1.0,0.8671433948061724,0.19021831681312779
122,es25nov11_9,4.0,19.0,-1.0,0.8395061728395061,0.19214800035822324
123,es25nov11_9,4.0,14.0,-1.0,0.8634471273938384,0.1912227179913492
124,es25nov11_9,4.0,12.0,-1.0,0.8472850678733032,0.19117920754313802
125,es25nov11_9,4.0,17.0,0.0,0.6321571668605402,0.19165170489020716
126,es25nov11_9,4.0,8.0,-1.0,0.838150289017341,0.19100748311717555
127,es25nov11_9,4.0,24.0,-1.0,0.8091603053435115,0.1911915564514245
128,es25nov11_9,4.0,10.0,-1.0,0.7894736842105263,0.19137743217476016
129,es25nov11_13,1.0,8.0,1.0,0.9613075615088316,0.07280261347362788
130,es25nov11_13,1.0,4.0,-1.0,0.9841602608898207,0.07514572684383591
131,es25nov11_13,1.0,6.0,1.0,0.9724505774124095,0.07038945672284858
132,es25nov11_13,1.0,13.0,-1.0,0.9570613552196977,0.07037175238783253
133,es25nov11_13,1.0,11.0,1.0,0.9572552579815403,0.0703888052777336
134,es25nov11_13,1.0,9.0,-1.0,0.8989019685428826,0.07039088528038866
135,es25nov11_13,1.0,10.0,-1.0,0.9930882814954446,0.0800458070046108
136,es25nov11_13,1.0,12.0,-1.0,0.9608520437535981,0.0704045813867533
137,es25nov11_13,1.0,2.0,-1.0,0.9506475323766188,0.07042761888809433
138,es25nov11_13,2.0,6.0,-1.0,0.9469175057410352,0.0703890268128544
139,es25nov11_13,3.0,2.0,1.0,1.0,0.2932892494269511
140,es25nov11_13,3.0,11.0,0.0,0.8952816938042969,0.07036761205753761
141,es25nov11_13,3.0,10.0,1.0,0.928362216255797,0.07046840461037751
142,es25nov11_13,3.0,5.0,-1.0,0.9448356807511737,0.07199568903484145
143,es25nov11_13,3.0,3.0,1.0,0.9604966139954854,0.0762319236596933
144,es25nov11_13,3.0,6.0,1.0,0.8812469074715488,0.1487836941451983
145,es25nov11_13,4.0,2.0,0.0,0.9023251986333917,0.07036756544682303
