,recording,shank,id,label,spike_prop,time_prop
64,es25nov11_5,3.0,3.0,0.0,0.1954496869751107,0.12318060728725068
65,es25nov11_5,3.0,2.0,1.0,0.08378266279552053,0.12319812411950792
66,es25nov11_5,3.0,4.0,-1.0,0.22096206491982792,0.12323459847017715
67,es25nov11_5,4.0,5.0,1.0,0.0988306299509619,0.123215352405092
68,es25nov11_5,4.0,2.0,-1.0,0.06997455470737914,0.12328206183634073
69,es25nov11_5,4.0,9.0,-1.0,0.055381400208986416,0.12343089374442635
70,es25nov11_5,4.0,13.0,-1.0,0.042105263157894736,0.12525057631504438
71,es25nov11_5,4.0,12.0,-1.0,0.08930323846908735,0.12518564429017803
72,es25nov11_5,4.0,8.0,-1.0,0.22633136094674555,0.1261201378475348
73,es25nov11_12,1.0,5.0,-1.0,0.041742451800654785,0.060303623634344786
74,es25nov11_12,1.0,16.0,-1.0,0.045558812284949665,0.060330231116648876
75,es25nov11_12,1.0,21.0,1.0,0.06438161954799433,0.06029431224589454
76,es25nov11_12,1.0,12.0,-1.0,0.042759795570698464,0.06030610956145214
77,es25nov11_12,1.0,18.0,-1.0,0.060453400503778336,0.06031082243710936
78,es25nov11_12,1.0,10.0,-1.0,0.041113219481340925,0.060388822795054566
79,es25nov11_12,1.0,19.0,1.0,0.10562730627306273,0.0603754153818481
80,es25nov11_12,1.0,6.0,-1.0,0.0640072120802344,0.06030944463219953
81,es25nov11_12,1.0,17.0,-1.0,0.04802523954194905,0.06030636074165339
82,es25nov11_12,1.0,9.0,-1.0,0.03944716383530089,0.06033043028771803
83,es25nov11_12,1.0,8.0,-1.0,0.05078545298041747,0.060395657604305916
84,es25nov11_12,2.0,3.0,-1.0,0.05992949471210341,0.06030415107169737
85,es25nov11_12,2.0,4.0,-1.0,0.03381389252948886,0.060316405800121875
86,es25nov11_12,2.0,7.0,-1.0,0.03832912554509984,0.06035667371067757
87,es25nov11_12,2.0,8.0,-1.0,0.06165791276547157,0.06035682918730802
