,restriction,modality,chunk_size,seed,acc,pyr_acc,in_acc,auc
91,no_small_sample,temporal,500.0,3,93.44262295081967,97.72727272727273,82.3529411764706,0.9625668449197861
92,no_small_sample,temporal,200.0,3,95.08196721311475,100.0,82.3529411764706,0.9625668449197861
93,no_small_sample,spat_tempo,0.0,3,91.80327868852459,97.72727272727273,76.47058823529412,0.9839572192513368
94,no_small_sample,spat_tempo,500.0,3,93.44262295081967,95.45454545454545,88.23529411764706,0.9839572192513368
95,no_small_sample,spat_tempo,200.0,3,91.80327868852459,95.45454545454545,82.3529411764706,0.9839572192513368
96,complete,spatial,0.0,4,86.53846153846153,91.56626506024097,66.66666666666667,0.8766494549627079
97,complete,spatial,500.0,4,86.53846153846153,87.95180722891567,80.95238095238095,0.8766494549627079
98,complete,spatial,200.0,4,86.53846153846153,86.74698795180723,85.71428571428571,0.8766494549627079
99,complete,morphological,0.0,4,96.15384615384616,96.3855421686747,95.23809523809524,0.9572576018359151
100,complete,morphological,500.0,4,99.03846153846153,100.0,95.23809523809524,0.9572576018359151
101,complete,morphological,200.0,4,99.03846153846153,100.0,95.23809523809524,0.9572576018359151
102,complete,temporal,0.0,4,88.46153846153847,90.36144578313252,80.95238095238095,0.9535283993115318
103,complete,temporal,500.0,4,96.15384615384616,95.18072289156626,100.0,0.9535283993115318
104,complete,temporal,200.0,4,94.23076923076923,93.97590361445783,95.23809523809524,0.9535283993115318
105,complete,spat_tempo,0.0,4,90.38461538461539,89.1566265060241,95.23809523809524,0.9764773379231211
106,complete,spat_tempo,500.0,4,93.26923076923077,92.7710843373494,95.23809523809524,0.9764773379231211
107,complete,spat_tempo,200.0,4,95.1923076923077,95.18072289156626,95.23809523809524,0.9764773379231211
108,no_small_sample,spatial,0.0,4,86.88524590163935,90.9090909090909,76.47058823529412,0.8983957219251337
109,no_small_sample,spatial,500.0,4,78.68852459016394,81.81818181818181,70.58823529411765,0.8983957219251337
110,no_small_sample,spatial,200.0,4,83.60655737704919,79.54545454545455,94.11764705882354,0.8983957219251337
111,no_small_sample,morphological,0.0,4,100.0,100.0,100.0,1.0
112,no_small_sample,morphological,500.0,4,100.0,100.0,100.0,1.0
113,no_small_sample,morphological,200.0,4,98.36065573770492,97.72727272727273,100.0,1.0
114,no_small_sample,temporal,0.0,4,95.08196721311475,97.72727272727273,88.23529411764706,0.9906417112299465
115,no_small_sample,temporal,500.0,4,91.80327868852459,90.9090909090909,94.11764705882354,0.9906417112299465
116,no_small_sample,temporal,200.0,4,91.80327868852459,90.9090909090909,94.11764705882354,0.9906417112299465
117,no_small_sample,spat_tempo,0.0,4,90.1639344262295,90.9090909090909,88.23529411764706,0.9665775401069518
118,no_small_sample,spat_tempo,500.0,4,85.24590163934427,81.81818181818181,94.11764705882354,0.9665775401069518
119,no_small_sample,spat_tempo,200.0,4,88.52459016393442,86.36363636363636,94.11764705882354,0.9665775401069518
120,complete,spatial,0.0,5,85.57692307692308,91.56626506024097,61.904761904761905,0.8944348823866896
121,complete,spatial,500.0,5,91.34615384615384,95.18072289156626,76.19047619047619,0.8944348823866896
122,complete,spatial,200.0,5,90.38461538461539,93.97590361445783,76.19047619047619,0.8944348823866896
123,complete,morphological,0.0,5,98.07692307692308,98.79518072289157,95.23809523809524,0.9701663798049339
124,complete,morphological,500.0,5,97.11538461538461,97.59036144578313,95.23809523809524,0.9701663798049339
125,complete,morphological,200.0,5,97.11538461538461,97.59036144578313,95.23809523809524,0.9701663798049339
126,complete,temporal,0.0,5,91.34615384615384,97.59036144578313,66.66666666666667,0.9541021227768215
127,complete,temporal,500.0,5,97.11538461538461,100.0,85.71428571428571,0.9541021227768215
128,complete,temporal,200.0,5,97.11538461538461,100.0,85.71428571428571,0.9541021227768215
129,complete,spat_tempo,0.0,5,97.11538461538461,98.79518072289157,90.47619047619048,0.9655765920826161
130,complete,spat_tempo,500.0,5,98.07692307692308,100.0,90.47619047619048,0.9655765920826161
131,complete,spat_tempo,200.0,5,97.11538461538461,100.0,85.71428571428571,0.9655765920826161
132,no_small_sample,spatial,0.0,5,86.88524590163935,93.18181818181819,70.58823529411765,0.913101604278075
133,no_small_sample,spatial,500.0,5,90.1639344262295,93.18181818181819,82.3529411764706,0.913101604278075
134,no_small_sample,spatial,200.0,5,85.24590163934427,86.36363636363636,82.3529411764706,0.913101604278075
135,no_small_sample,morphological,0.0,5,98.36065573770492,100.0,94.11764705882354,0.9705882352941176
136,no_small_sample,morphological,500.0,5,98.36065573770492,100.0,94.11764705882354,0.9705882352941176
137,no_small_sample,morphological,200.0,5,96.72131147540983,97.72727272727273,94.11764705882354,0.9705882352941176
138,no_small_sample,temporal,0.0,5,95.08196721311475,95.45454545454545,94.11764705882354,0.9759358288770054
139,no_small_sample,temporal,500.0,5,95.08196721311475,95.45454545454545,94.11764705882354,0.9759358288770054
140,no_small_sample,temporal,200.0,5,93.44262295081967,95.45454545454545,88.23529411764706,0.9759358288770054
