modality,chunk_size,seed,acc,auc,region
temporal,100.0,11,57.14285714285714,0.6531440162271804,ncx
temporal,200.0,11,65.07936507936508,0.7150101419878296,ncx
temporal,400.0,11,71.42857142857143,0.7383367139959431,ncx
temporal,800.0,11,68.25396825396825,0.7494929006085191,ncx
temporal,1600.0,11,69.84126984126982,0.7555780933062879,ncx
morphological,0.0,11,98.41269841269842,0.9949290060851927,ncx
morphological,100.0,11,98.41269841269842,0.9949290060851927,ncx
morphological,200.0,11,98.41269841269842,0.9949290060851927,ncx
morphological,400.0,11,98.41269841269842,0.9949290060851927,ncx
morphological,800.0,11,98.41269841269842,0.9959432048681542,ncx
morphological,1600.0,11,98.41269841269842,0.995943204868154,ncx
spatial,0.0,12,52.38095238095239,0.6247464503042598,ncx
spatial,100.0,12,60.317460317460316,0.6693711967545639,ncx
spatial,200.0,12,57.14285714285714,0.6724137931034483,ncx
spatial,400.0,12,60.317460317460316,0.6835699797160243,ncx
spatial,800.0,12,58.73015873015873,0.6754563894523327,ncx
spatial,1600.0,12,60.317460317460316,0.6602434077079107,ncx
temporal,0.0,12,61.904761904761905,0.7231237322515213,ncx
temporal,100.0,12,57.14285714285714,0.6521298174442189,ncx
temporal,200.0,12,66.66666666666667,0.7221095334685599,ncx
temporal,400.0,12,73.01587301587301,0.7454361054766734,ncx
temporal,800.0,12,66.66666666666667,0.7484787018255578,ncx
temporal,1600.0,12,63.492063492063494,0.7413793103448274,ncx
morphological,0.0,12,95.23809523809523,0.9771805273833672,ncx
morphological,100.0,12,98.41269841269842,0.9949290060851927,ncx
morphological,200.0,12,98.41269841269842,0.9918864097363084,ncx
morphological,400.0,12,98.41269841269842,0.9929006085192698,ncx
morphological,800.0,12,96.82539682539681,0.995943204868154,ncx
morphological,1600.0,12,98.41269841269842,0.9929006085192698,ncx
spatial,0.0,13,57.14285714285714,0.6886409736308315,ncx
spatial,100.0,13,61.904761904761905,0.6926977687626773,ncx
spatial,200.0,13,58.73015873015873,0.6653144016227179,ncx
spatial,400.0,13,58.73015873015873,0.6673427991886409,ncx
spatial,800.0,13,55.555555555555564,0.6663286004056795,ncx
spatial,1600.0,13,60.317460317460316,0.6582150101419878,ncx
temporal,0.0,13,66.66666666666667,0.6937119675456389,ncx
temporal,100.0,13,55.555555555555564,0.6511156186612577,ncx
temporal,200.0,13,66.66666666666667,0.7261663286004058,ncx
temporal,400.0,13,71.42857142857143,0.7434077079107505,ncx
temporal,800.0,13,69.84126984126982,0.7576064908722109,ncx
temporal,1600.0,13,68.25396825396825,0.7444219066937119,ncx
morphological,0.0,13,96.82539682539681,0.995943204868154,ncx
morphological,100.0,13,98.41269841269842,0.9949290060851927,ncx
morphological,200.0,13,98.41269841269842,0.9949290060851927,ncx
morphological,400.0,13,98.41269841269842,0.9979716024340772,ncx
morphological,800.0,13,98.41269841269842,0.9939148073022313,ncx
morphological,1600.0,13,98.41269841269842,0.9959432048681542,ncx
spatial,0.0,14,53.96825396825397,0.6445233265720082,ncx
spatial,100.0,14,65.07936507936508,0.6926977687626774,ncx
spatial,200.0,14,61.904761904761905,0.6430020283975659,ncx
spatial,400.0,14,55.555555555555564,0.6490872210953348,ncx
spatial,800.0,14,55.555555555555564,0.6693711967545639,ncx
spatial,1600.0,14,63.492063492063494,0.6744421906693712,ncx
temporal,0.0,14,66.66666666666667,0.6921906693711968,ncx
temporal,100.0,14,57.14285714285714,0.6561866125760649,ncx
temporal,200.0,14,69.84126984126982,0.7221095334685599,ncx
temporal,400.0,14,69.84126984126982,0.7444219066937119,ncx
temporal,800.0,14,69.84126984126982,0.742393509127789,ncx
temporal,1600.0,14,66.66666666666667,0.7302231237322513,ncx
morphological,0.0,14,96.82539682539681,0.994421906693712,ncx
morphological,100.0,14,98.41269841269842,0.9939148073022313,ncx
morphological,200.0,14,98.41269841269842,0.995943204868154,ncx
morphological,400.0,14,98.41269841269842,0.9939148073022313,ncx
morphological,800.0,14,98.41269841269842,0.9949290060851926,ncx
morphological,1600.0,14,98.41269841269842,0.995943204868154,ncx
spatial,0.0,15,50.79365079365079,0.6455375253549697,ncx
spatial,100.0,15,63.492063492063494,0.7038539553752535,ncx
spatial,200.0,15,58.73015873015873,0.6531440162271804,ncx
spatial,400.0,15,58.73015873015873,0.6663286004056794,ncx
spatial,800.0,15,57.14285714285714,0.6612576064908722,ncx
